"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",17.85654049,0,0,0,0,0,0,0,0,0,0,0,10.95554982,0,0,0
"L2",0,10.400625,0,0,0,0,16.662285,0,0,0,0,0,0,0,0,17.19054
"L3",0,0,6.64402176,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,10.64390625,0,0,0,0,12.9984525,0,0,0,0,0,4.46734125,0
"L5",0,0,0,0,2.60693316,0,0,0,0,6.95537388,0,0,0,0,0,0
"L6",0,0,0,0,0,9.659664,0,0,0,0,0,0,0,10.421124,0,0
"L7",0,16.662285,0,0,0,0,32.60643412,4.19767108,0,0,0,8.02428,0,0,0,27.54004464
"L8",0,0,0,0,0,0,4.19767108,2.98011169,0,0,0,5.69679,0,0,0,0
"L9",0,0,0,12.9984525,0,0,0,0,15.87384964,0,0,0,0,0,5.45556506,0
"L10",0,0,0,0,6.95537388,0,0,0,0,18.55714084,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,12.47219856,0,0,0,0,0
"L12",0,0,0,0,0,0,8.02428,5.69679,0,0,0,10.89,0,0,0,0
"L13",10.95554982,0,0,0,0,0,0,0,0,0,0,0,6.72157476,0,0,0
"L14",0,0,0,0,0,10.421124,0,0,0,0,0,0,0,11.242609,0,0
"L15",0,0,0,4.46734125,0,0,0,0,5.45556506,0,0,0,0,0,1.87498249,0
"L16",0,17.19054,0,0,0,0,27.54004464,0,0,0,0,0,0,0,0,28.41316416
