"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",11.06028049,0,0,0,0,0,0,0,0,0,0,0,5.62907982,0,0,0
"L2",0,5.405625,0,0,0,0,9.919845,0,0,0,0,0,0,0,0,10.30068
"L3",0,0,2.81434176,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,5.58140625,0,0,0,0,7.2864225,0,0,0,0,0,3.23497125,0
"L5",0,0,0,0,2.60693316,0,0,0,0,5.50223388,0,0,0,0,0,0
"L6",0,0,0,0,0,4.875264,0,0,0,0,0,0,0,5.416224,0,0
"L7",0,9.919845,0,0,0,0,24.11655412,4.19767108,0,0,0,5.83584,0,0,0,18.90274464
"L8",0,0,0,0,0,0,4.19767108,2.98011169,0,0,0,4.14312,0,0,0,0
"L9",0,0,0,7.2864225,0,0,0,0,9.51228964,0,0,0,0,0,4.22319506,0
"L10",0,0,0,0,5.50223388,0,0,0,0,11.61310084,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,6.92531856,0,0,0,0,0
"L12",0,0,0,0,0,0,5.83584,4.14312,0,0,0,5.76,0,0,0,0
"L13",5.62907982,0,0,0,0,0,0,0,0,0,0,0,2.86489476,0,0,0
"L14",0,0,0,0,0,5.416224,0,0,0,0,0,0,0,6.017209,0,0
"L15",0,0,0,3.23497125,0,0,0,0,4.22319506,0,0,0,0,0,1.87498249,0
"L16",0,10.30068,0,0,0,0,18.90274464,0,0,0,0,0,0,0,0,19.62844416
