"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",17.85654049,0,0,0,0,0,0,0,0,0,0,0,10.95554982,0,0,0
"L2",0,10.400625,0,0,0,0,15.4351725,0,0,0,0,0,0,0,0,14.28804
"L3",0,0,6.64402176,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,10.64390625,0,0,0,0,12.22752375,0,0,0,0,0,4.46734125,0
"L5",0,0,0,0,2.60693316,0,0,0,0,6.95537388,0,0,0,0,0,0
"L6",0,0,0,0,0,9.659664,0,0,0,0,0,0,0,9.8200368,0,0
"L7",0,15.4351725,0,0,0,0,27.11376442,3.54081393,0,0,0,6.76863,0,0,0,21.20433744
"L8",0,0,0,0,0,0,3.54081393,2.98011169,0,0,0,5.69679,0,0,0,0
"L9",0,0,0,12.22752375,0,0,0,0,14.04675441,0,0,0,0,0,5.13199947,0
"L10",0,0,0,0,6.95537388,0,0,0,0,18.55714084,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,12.47219856,0,0,0,0,0
"L12",0,0,0,0,0,0,6.76863,5.69679,0,0,0,10.89,0,0,0,0
"L13",10.95554982,0,0,0,0,0,0,0,0,0,0,0,6.72157476,0,0,0
"L14",0,0,0,0,0,9.8200368,0,0,0,0,0,0,0,9.98307216,0,0
"L15",0,0,0,4.46734125,0,0,0,0,5.13199947,0,0,0,0,0,1.87498249,0
"L16",0,14.28804,0,0,0,0,21.20433744,0,0,0,0,0,0,0,0,19.62844416
