"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",12.5316,0,0,0,0,0,0,0,0,0,0,0,7.5933,0,0,0
"L2",0,7.209225,0,0,0,0,12.72153,0,0,0,0,0,0,0,0,12.5859375
"L3",0,0,5.1984,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,5.58140625,0,0,0,0,8.60257125,0,0,0,0,0,2.7286875,0
"L5",0,0,0,0,1.84280625,0,0,0,0,5.14967625,0,0,0,0,0,0
"L6",0,0,0,0,0,6.290064,0,0,0,0,0,0,0,7.6140372,0,0
"L7",0,12.72153,0,0,0,0,27.235988,2.651856,0,0,0,6.564,0,0,0,22.209375
"L8",0,0,0,0,0,0,2.651856,1.468944,0,0,0,3.636,0,0,0,0
"L9",0,0,0,8.60257125,0,0,0,0,13.25906569,0,0,0,0,0,4.2057015,0
"L10",0,0,0,0,5.14967625,0,0,0,0,14.39064225,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,9.31775625,0,0,0,0,0
"L12",0,0,0,0,0,0,6.564,3.636,0,0,0,9,0,0,0,0
"L13",7.5933,0,0,0,0,0,0,0,0,0,0,0,4.601025,0,0,0
"L14",0,0,0,0,0,7.6140372,0,0,0,0,0,0,0,9.21668881,0,0
"L15",0,0,0,2.7286875,0,0,0,0,4.2057015,0,0,0,0,0,1.334025,0
"L16",0,12.5859375,0,0,0,0,22.209375,0,0,0,0,0,0,0,0,21.97265625
