"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",15.41112049,0,0,0,0,0,0,0,0,0,0,0,9.00005982,0,0,0
"L2",0,8.555625,0,0,0,0,13.357305,0,0,0,0,0,0,0,0,14.71392
"L3",0,0,5.18746176,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,5.58140625,0,0,0,0,8.7039225,0,0,0,0,0,2.52622125,0
"L5",0,0,0,0,1.72817316,0,0,0,0,4.47989388,0,0,0,0,0,0
"L6",0,0,0,0,0,6.290064,0,0,0,0,0,0,0,7.656924,0,0
"L7",0,13.357305,0,0,0,0,25.39755412,2.40082108,0,0,0,6.3948,0,0,0,22.97182464
"L8",0,0,0,0,0,0,2.40082108,1.26855169,0,0,0,3.3789,0,0,0,0
"L9",0,0,0,8.7039225,0,0,0,0,13.57332964,0,0,0,0,0,3.93951506,0
"L10",0,0,0,0,4.47989388,0,0,0,0,11.61310084,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,8.59427856,0,0,0,0,0
"L12",0,0,0,0,0,0,6.3948,3.3789,0,0,0,9,0,0,0,0
"L13",9.00005982,0,0,0,0,0,0,0,0,0,0,0,5.25601476,0,0,0
"L14",0,0,0,0,0,7.656924,0,0,0,0,0,0,0,9.320809,0,0
"L15",0,0,0,2.52622125,0,0,0,0,3.93951506,0,0,0,0,0,1.14340249,0
"L16",0,14.71392,0,0,0,0,22.97182464,0,0,0,0,0,0,0,0,25.30492416
