"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",17.85654049,0,0,0,0,0,0,0,0,0,0,0,10.95554982,0,0,0
"L2",0,10.400625,0,0,0,0,15.211035,0,0,0,0,0,0,0,0,14.28804
"L3",0,0,6.64402176,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,10.64390625,0,0,0,0,12.26439,0,0,0,0,0,4.46734125,0
"L5",0,0,0,0,2.60693316,0,0,0,0,6.95537388,0,0,0,0,0,0
"L6",0,0,0,0,0,9.659664,0,0,0,0,0,0,0,9.721824,0,0
"L7",0,15.211035,0,0,0,0,26.17305412,3.42083608,0,0,0,6.53928,0,0,0,20.89642464
"L8",0,0,0,0,0,0,3.42083608,2.98011169,0,0,0,5.69679,0,0,0,0
"L9",0,0,0,12.26439,0,0,0,0,14.13158464,0,0,0,0,0,5.14747256,0
"L10",0,0,0,0,6.95537388,0,0,0,0,18.55714084,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,12.47219856,0,0,0,0,0
"L12",0,0,0,0,0,0,6.53928,5.69679,0,0,0,10.89,0,0,0,0
"L13",10.95554982,0,0,0,0,0,0,0,0,0,0,0,6.72157476,0,0,0
"L14",0,0,0,0,0,9.721824,0,0,0,0,0,0,0,9.784384,0,0
"L15",0,0,0,4.46734125,0,0,0,0,5.14747256,0,0,0,0,0,1.87498249,0
"L16",0,14.28804,0,0,0,0,20.89642464,0,0,0,0,0,0,0,0,19.62844416
