"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",13.58438449,0,0,0,0,0,0,0,0,0,0,0,7.73112432,0,0,0
"L2",0,6.9696,0,0,0,0,9.843504,0,0,0,0,0,0,0,0,7.241256
"L3",0,0,3.79314576,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,7.29,0,0,0,0,7.81083,0,0,0,0,0,1.38861,0
"L5",0,0,0,0,1.01425041,0,0,0,0,3.69031653,0,0,0,0,0,0
"L6",0,0,0,0,0,6.5025,0,0,0,0,0,0,0,6.163605,0,0
"L7",0,9.843504,0,0,0,0,14.88969892,1.10716848,0,0,0,2.38464,0,0,0,10.22717694
"L8",0,0,0,0,0,0,1.10716848,1.24166449,0,0,0,2.67432,0,0,0,0
"L9",0,0,0,7.81083,0,0,0,0,8.36887041,0,0,0,0,0,1.48781847,0
"L10",0,0,0,0,3.69031653,0,0,0,0,13.42709449,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,8.28921681,0,0,0,0,0
"L12",0,0,0,0,0,0,2.38464,2.67432,0,0,0,5.76,0,0,0,0
"L13",7.73112432,0,0,0,0,0,0,0,0,0,0,0,4.39992576,0,0,0
"L14",0,0,0,0,0,6.163605,0,0,0,0,0,0,0,5.84237241,0,0
"L15",0,0,0,1.38861,0,0,0,0,1.48781847,0,0,0,0,0,0.26450449,0
"L16",0,7.241256,0,0,0,0,10.22717694,0,0,0,0,0,0,0,0,7.52350041
