"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",13.58438449,0,0,0,0,0,0,0,0,0,0,0,7.73112432,0,0,0
"L2",0,6.9696,0,0,0,0,12.036024,0,0,0,0,0,0,0,0,11.993256
"L3",0,0,3.79314576,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,7.29,0,0,0,0,9.05634,0,0,0,0,0,1.38861,0
"L5",0,0,0,0,1.01425041,0,0,0,0,3.69031653,0,0,0,0,0,0
"L6",0,0,0,0,0,6.5025,0,0,0,0,0,0,0,7.230525,0,0
"L7",0,12.036024,0,0,0,0,24.11273362,2.03259463,0,0,0,4.37784,0,0,0,20.71153539
"L8",0,0,0,0,0,0,2.03259463,1.24166449,0,0,0,2.67432,0,0,0,0
"L9",0,0,0,9.05634,0,0,0,0,11.25065764,0,0,0,0,0,1.72506506,0
"L10",0,0,0,0,3.69031653,0,0,0,0,13.42709449,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,8.28921681,0,0,0,0,0
"L12",0,0,0,0,0,0,4.37784,2.67432,0,0,0,5.76,0,0,0,0
"L13",7.73112432,0,0,0,0,0,0,0,0,0,0,0,4.39992576,0,0,0
"L14",0,0,0,0,0,7.230525,0,0,0,0,0,0,0,8.04006025,0,0
"L15",0,0,0,1.38861,0,0,0,0,1.72506506,0,0,0,0,0,0.26450449,0
"L16",0,11.993256,0,0,0,0,20.71153539,0,0,0,0,0,0,0,0,20.63794041
