"","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16"
"L1",11.06028049,0,0,0,0,0,0,0,0,0,0,0,7.12564482,0,0,0
"L2",0,5.405625,0,0,0,0,9.919845,0,0,0,0,0,0,0,0,10.30068
"L3",0,0,4.52668176,0,0,0,0,0,0,0,0,0,0,0,0,0
"L4",0,0,0,10.64390625,0,0,0,0,11.5303275,0,0,0,0,0,4.46734125,0
"L5",0,0,0,0,1.35629316,0,0,0,0,4.49279388,0,0,0,0,0,0
"L6",0,0,0,0,0,7.064964,0,0,0,0,0,0,0,6.520074,0,0
"L7",0,9.919845,0,0,0,0,22.13061412,3.42083608,0,0,0,6.53928,0,0,0,18.90274464
"L8",0,0,0,0,0,0,3.42083608,2.98011169,0,0,0,5.69679,0,0,0,0
"L9",0,0,0,11.5303275,0,0,0,0,12.49056964,0,0,0,0,0,4.83938006,0
"L10",0,0,0,0,4.49279388,0,0,0,0,14.88262084,0,0,0,0,0,0
"L11",0,0,0,0,0,0,0,0,0,0,6.92531856,0,0,0,0,0
"L12",0,0,0,0,0,0,6.53928,5.69679,0,0,0,10.89,0,0,0,0
"L13",7.12564482,0,0,0,0,0,0,0,0,0,0,0,4.59073476,0,0,0
"L14",0,0,0,0,0,6.520074,0,0,0,0,0,0,0,6.017209,0,0
"L15",0,0,0,4.46734125,0,0,0,0,4.83938006,0,0,0,0,0,1.87498249,0
"L16",0,10.30068,0,0,0,0,18.90274464,0,0,0,0,0,0,0,0,19.62844416
